date,price,open,high,low,change(%)
2022-06-24,3.138,3.079,3.141,3.039,1.58%
2022-06-23,3.089,3.152,3.175,3.005,-2.25%
2022-06-22,3.16,3.284,3.284,3.124,-3.62%
2022-06-21,3.279,3.275,3.317,3.258,0.06%
2022-06-20,3.277,3.277,3.277,3.277,1.41%
2022-06-17,3.231,3.227,3.313,3.194,1.13%
2022-06-16,3.195,3.303,3.495,3.178,-2.93%
2022-06-15,3.292,3.448,3.464,3.28,-5.39%
2022-06-14,3.479,3.379,3.498,3.267,3.49%
2022-06-13,3.362,3.172,3.44,3.155,5.91%
2022-06-12,3.174,3.18,3.18,3.171,0.29%
2022-06-10,3.165,3.055,3.178,2.99,3.92%
2022-06-09,3.046,3.034,3.073,3.007,0.61%
2022-06-08,3.027,2.986,3.042,2.983,1.61%
2022-06-07,2.979,3.044,3.064,2.957,-2.00%
2022-06-06,3.04,2.935,3.049,2.933,3.51%
2022-06-05,2.937,2.944,2.944,2.937,-0.12%
2022-06-03,2.941,2.915,2.986,2.906,0.94%
2022-06-02,2.913,2.911,2.944,2.889,0.06%
2022-06-01,2.911,2.864,2.951,2.833,2.17%
2022-05-31,2.849,2.81,2.884,2.799,1.35%
2022-05-30,2.812,2.815,2.815,2.812,2.49%
2022-05-27,2.743,2.752,2.769,2.709,0.06%
2022-05-26,2.742,2.743,2.797,2.706,-0.33%
2022-05-25,2.751,2.756,2.776,2.708,-0.13%
